GENOTYPE,complete_set_no_fltr,qc_passing,qc_passing_iqr_filtered
CNAG_00000,231,170,157
CNAG_00031,5,3,2
CNAG_00039,4,4,4
CNAG_00068,11,5,5
CNAG_00156,8,4,4
CNAG_00193,9,4,4
CNAG_00332,6,4,4
CNAG_00460,6,4,4
CNAG_00505,7,3,3
CNAG_00514,6,4,3
CNAG_00559,4,4,4
CNAG_00791,7,4,4
CNAG_00828,5,4,4
CNAG_00830,6,3,3
CNAG_00841,7,6,6
CNAG_00871,10,3,3
CNAG_00883,7,4,3
CNAG_00896,6,2,2
CNAG_01014,4,4,4
CNAG_01069,6,6,5
CNAG_01438,12,12,9
CNAG_01454,6,4,4
CNAG_01551,9,3,3
CNAG_01626,9,5,5
CNAG_01708,5,2,2
CNAG_01883,4,4,4
CNAG_01889,4,4,4
CNAG_01948,6,5,5
CNAG_01977,4,4,4
CNAG_02066,6,5,5
CNAG_02305,17,2,2
CNAG_02322,6,5,5
CNAG_02364,7,4,4
CNAG_02435,8,4,4
CNAG_02476,4,4,4
CNAG_02516,6,4,4
CNAG_02566,13,11,10
CNAG_02603,6,5,5
CNAG_02700,13,1,1
CNAG_02723,6,5,5
CNAG_02774,6,4,4
CNAG_02877,6,5,4
CNAG_03018,11,2,2
CNAG_03059,6,5,5
CNAG_03086,6,5,5
CNAG_03115,10,6,6
CNAG_03132,6,5,5
CNAG_03212,7,5,5
CNAG_03279,7,4,4
CNAG_03336,6,6,6
CNAG_03346,8,3,3
CNAG_03401,6,5,5
CNAG_03409,6,6,6
CNAG_03431,4,0,0
CNAG_03561,7,5,4
CNAG_03710,9,5,5
CNAG_03741,6,6,6
CNAG_03849,6,5,5
CNAG_03894,11,9,9
CNAG_03902,6,5,5
CNAG_03914,6,6,5
CNAG_03998,7,4,4
CNAG_04012,6,5,5
CNAG_04093,6,5,5
CNAG_04184,4,4,3
CNAG_04345,6,6,6
CNAG_04352,7,5,5
CNAG_04353,6,5,4
CNAG_04398,4,4,4
CNAG_04457,4,4,4
CNAG_04518,5,4,4
CNAG_04586,5,5,5
CNAG_04588,5,5,3
CNAG_04594,4,4,4
CNAG_04630,4,4,4
CNAG_04637,7,4,4
CNAG_04774,4,4,4
CNAG_04804,4,4,4
CNAG_04807,4,4,4
CNAG_04841,11,3,2
CNAG_04864,13,9,9
CNAG_04908,6,5,4
CNAG_05049,4,4,4
CNAG_05093,5,5,4
CNAG_05112,4,4,4
CNAG_05170,5,5,5
CNAG_05176,5,4,4
CNAG_05222,17,9,6
CNAG_05255,5,5,4
CNAG_05375,5,4,4
CNAG_05380,5,5,4
CNAG_05392,6,4,4
CNAG_05420,15,9,9
CNAG_05431,10,7,7
CNAG_05436,6,5,5
CNAG_05538,7,5,2
CNAG_05642,4,4,4
CNAG_05785,8,4,2
CNAG_05861,7,7,7
CNAG_06097,4,4,4
CNAG_06134,8,3,3
CNAG_06156,10,4,4
CNAG_06188,10,1,1
CNAG_06252,8,4,4
CNAG_06276,6,4,4
CNAG_06327,7,6,6
CNAG_06339,7,6,6
CNAG_06425,4,4,4
CNAG_06719,4,4,4
CNAG_06751,6,4,4
CNAG_06871,9,7,7
CNAG_07443,5,3,3
CNAG_07528,8,4,4
CNAG_07901,8,3,3
CNAG_07922,4,4,4
CNAG_07940,4,4,4
CNAG_03129,0,0,0
CNAG_03366,0,0,0
