GENOTYPE,SOURCE,TYPE,complete_set_no_fltr,qc_passing,qc_passing_iqr_filtered,count
CNAG_00018,grant_singles,tf,NA,NA,0,0
CNAG_00031,grant_singles,tf,4,3,2,2
CNAG_00068,grant_singles,tf,9,2,0,2
CNAG_00193,grant_singles,tf,7,2,0,2
CNAG_00239,grant_singles,tf,NA,NA,0,0
CNAG_00332,grant_singles,tf,4,1,0,1
CNAG_00670,grant_singles,tf,NA,NA,0,0
CNAG_00791,grant_singles,tf,6,3,2,2
CNAG_00896,grant_singles,tf,4,1,0,1
CNAG_01317,grant_singles,tf,NA,NA,0,0
CNAG_01431,grant_singles,tf,NA,NA,0,0
CNAG_01708,grant_singles,tf,3,NA,0,0
CNAG_01841,grant_singles,tf,NA,NA,0,0
CNAG_01858,grant_singles,tf,NA,NA,0,0
CNAG_01948,grant_singles,tf,3,1,0,1
CNAG_01973,grant_singles,tf,NA,NA,0,0
CNAG_02134,grant_singles,tf,NA,NA,0,0
CNAG_02241,grant_singles,tf,NA,NA,0,0
CNAG_02305,grant_singles,tf,17,2,0,2
CNAG_02435,grant_singles,tf,6,2,0,2
CNAG_02555,grant_singles,tf,NA,NA,0,0
CNAG_02671,grant_singles,tf,NA,NA,0,0
CNAG_02698,grant_singles,tf,NA,NA,0,0
CNAG_02700,grant_singles,tf,12,NA,0,0
CNAG_02936,grant_singles,tf,NA,NA,0,0
CNAG_03018,grant_singles,tf,10,2,0,2
CNAG_03129,grant_singles,tf,NA,NA,0,0
CNAG_03183,grant_singles,tf,NA,NA,0,0
CNAG_03229,grant_singles,tf,NA,NA,0,0
CNAG_03261,grant_singles,tf,NA,NA,0,0
CNAG_03346,grant_singles,tf,7,2,0,2
CNAG_03366,grant_singles,tf,NA,NA,0,0
CNAG_03431,grant_singles,tf,4,NA,0,0
CNAG_03768,grant_singles,tf,NA,NA,0,0
CNAG_03790,grant_singles,tf,NA,NA,0,0
CNAG_03826,grant_singles,tf,NA,NA,0,0
CNAG_04023,grant_singles,tf,NA,NA,0,0
CNAG_04036,grant_singles,tf,NA,NA,0,0
CNAG_04090,grant_singles,tf,NA,NA,0,0
CNAG_04130,grant_singles,tf,NA,NA,0,0
CNAG_04176,grant_singles,tf,NA,NA,0,0
CNAG_04226,grant_singles,tf,NA,NA,0,0
CNAG_04263,grant_singles,tf,NA,NA,0,0
CNAG_04268,grant_singles,tf,NA,NA,0,0
CNAG_04583,grant_singles,tf,NA,NA,0,0
CNAG_04600,grant_singles,tf,NA,NA,0,0
CNAG_04637,grant_singles,tf,6,2,0,2
CNAG_04798,grant_singles,tf,NA,NA,0,0
CNAG_04836,grant_singles,tf,NA,NA,0,0
CNAG_04837,grant_singles,tf,NA,NA,0,0
CNAG_04878,grant_singles,tf,NA,NA,0,0
CNAG_04895,grant_singles,tf,NA,NA,0,0
CNAG_05010,grant_singles,tf,NA,NA,0,0
CNAG_05153,grant_singles,tf,NA,NA,0,0
CNAG_05311,grant_singles,tf,NA,NA,0,0
CNAG_05538,grant_singles,tf,6,4,2,2
CNAG_05785,grant_singles,tf,8,4,2,2
CNAG_06134,grant_singles,tf,5,1,0,1
CNAG_06188,grant_singles,tf,10,1,0,1
CNAG_06223,grant_singles,tf,NA,NA,0,0
CNAG_06283,grant_singles,tf,NA,NA,0,0
CNAG_06483,grant_singles,tf,NA,NA,0,0
CNAG_06762,grant_singles,tf,NA,NA,0,0
CNAG_06818,grant_singles,tf,NA,NA,0,0
CNAG_06921,grant_singles,tf,NA,NA,0,0
CNAG_07011,grant_singles,tf,NA,NA,0,0
